"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/03/2011","AQS","060370002","2","7","ug/m3 SC","6","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/09/2011","AQS","060370002","2","30","ug/m3 SC","28","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/15/2011","AQS","060370002","2","13","ug/m3 SC","12","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/21/2011","AQS","060370002","2","19","ug/m3 SC","18","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/27/2011","AQS","060370002","2","17","ug/m3 SC","16","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2011","AQS","060370002","2","36","ug/m3 SC","33","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/08/2011","AQS","060370002","2","23","ug/m3 SC","21","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/14/2011","AQS","060370002","2","27","ug/m3 SC","25","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/20/2011","AQS","060370002","2","4","ug/m3 SC","4","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/26/2011","AQS","060370002","2","5","ug/m3 SC","5","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/04/2011","AQS","060370002","2","19","ug/m3 SC","18","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/10/2011","AQS","060370002","2","28","ug/m3 SC","26","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/16/2011","AQS","060370002","2","30","ug/m3 SC","28","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/22/2011","AQS","060370002","2","11","ug/m3 SC","10","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/28/2011","AQS","060370002","2","23","ug/m3 SC","21","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/03/2011","AQS","060370002","2","20","ug/m3 SC","19","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/09/2011","AQS","060370002","2","11","ug/m3 SC","10","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/15/2011","AQS","060370002","2","40","ug/m3 SC","37","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/21/2011","AQS","060370002","2","27","ug/m3 SC","25","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/27/2011","AQS","060370002","2","42","ug/m3 SC","39","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"05/03/2011","AQS","060370002","2","24","ug/m3 SC","22","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"05/09/2011","AQS","060370002","2","26","ug/m3 SC","24","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"05/15/2011","AQS","060370002","2","13","ug/m3 SC","12","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"05/21/2011","AQS","060370002","2","39","ug/m3 SC","36","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"05/27/2011","AQS","060370002","2","42","ug/m3 SC","39","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"06/02/2011","AQS","060370002","2","34","ug/m3 SC","31","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"06/08/2011","AQS","060370002","2","27","ug/m3 SC","25","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"06/14/2011","AQS","060370002","2","50","ug/m3 SC","46","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"06/22/2011","AQS","060370002","2","45","ug/m3 SC","42","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"06/26/2011","AQS","060370002","2","41","ug/m3 SC","38","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"07/02/2011","AQS","060370002","2","42","ug/m3 SC","39","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"07/08/2011","AQS","060370002","2","55","ug/m3 SC","51","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"07/14/2011","AQS","060370002","2","24","ug/m3 SC","22","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"07/20/2011","AQS","060370002","2","51","ug/m3 SC","47","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
